lang,libro,capitulo,versiculo,texto
ncx,%c3%89xodo,1,17,Pero parteras sapanoua okitlakaitayaj akin melauak toTajtsin Dios. Amo okichijkej tlen okinnauati tekiua tlen otlanauatiaya Egipto uan amo okinmiktiayaj chokotsitsintin.
es,%c3%89xodo,1,17,"Sin embargo, las parteras temían al Dios verdadero. Así que, en lugar de hacer lo que el rey de Egipto les había mandado, dejaban con vida a los varoncitos."
ncx,%c3%89xodo,1,18,"Satepan tekiua tlen otlanauatiaya Egipto, okinnotski parteras uan okintlajtlani: “¿Tleka amo onankinmiktijkej chokomej?”."
es,%c3%89xodo,1,18,"Tiempo después, el rey de Egipto llamó a las parteras y les dijo: “¿Por qué han dejado con vida a los varones?”."
ncx,%c3%89xodo,1,19,Parteras okinankilijkej faraón: “Siuamej hebreas amo ken egipcias. Yejuan chikauakej uan kipiaj inkone achto ajsiti partera”.
es,%c3%89xodo,1,19,"Las parteras le contestaron al faraón: “Las hebreas no son como las egipcias. Ellas son mujeres fuertes y, antes de que la partera llegue, ya han dado a luz”."
ncx,%c3%89xodo,1,20,ToTajtsin Dios okinteochi parteras uan israelitas okachi omomiakiliayaj uan okachi omochiuayaj chikauakej.
es,%c3%89xodo,1,20,"De modo que Dios bendijo a las parteras, y el pueblo siguió haciéndose más numeroso y muy poderoso."
ncx,%c3%89xodo,1,21,Parteras okiteititijkej sapanoua okitlakaitayaj akin melauak toTajtsin Dios. Ikinon satepan ye okichi makinpiakan inkoneuan.
es,%c3%89xodo,1,21,"Más tarde, como las parteras habían temido al Dios verdadero, él les dio hijos."
ncx,%c3%89xodo,1,22,"Satepan faraón okinauati nochi ialtepe: “Xikintlamotlakan ijtik aueyatl Nilo, nochtin chokomej hebreos tlen yikin oneskej, pero xikinkauilikan takomej mayoltokan”."
es,%c3%89xodo,1,22,"Finalmente, el faraón le ordenó a todo su pueblo: “Arrojen al río Nilo a todos los hebreos recién nacidos que sean varones, pero dejen con vida a las niñas”."
ncx,%c3%89xodo,2,1,"Ijkuakon se tlakatl tlen opouiaya itech ifamilia Leví, omonamikti iuan se ichpoch Leví."
es,%c3%89xodo,2,1,"Por ese entonces, un hombre de la familia de Leví se casó con una hija de Leví."
ncx,%c3%89xodo,2,2,"Ijtik siuatl opejki moskaltia ikonetsin uan okipixki se chokotsin. Ijkuak okitak kuajkualtsin okatka, okitlati eyi metstli."
es,%c3%89xodo,2,2,"La mujer quedó embarazada y tuvo un hijo. Al ver lo hermoso que era, lo escondió durante tres meses."
ncx,%c3%89xodo,2,3,"Ijkuak ayakmo ueli okitlati konetl, okonanki se chikiuitl de papiro, okitlalili seki tlamantli para amo maakalaki, okitlali konetl ijtik chikiuitl uan okitlali itlajkotia akatl tlen okatka itempa aueyatl Nilo."
es,%c3%89xodo,2,3,"Cuando ya no pudo esconderlo más, tomó una canasta de papiro, la cubrió de alquitrán y brea, metió al niño dentro y la puso entre las cañas que estaban a la orilla del río Nilo."
ncx,%c3%89xodo,2,4,Pero ikni chokotsin amo uejka okatka para kitaskia tlen kipanoskia.
es,%c3%89xodo,2,4,Pero la hermana del niño se quedó a cierta distancia para ver qué pasaba con él.
ncx,%c3%89xodo,2,5,"Ijkuakon ichpoch faraón otemok omaltito ijtik aueyatl Nilo. Ijkuak siuamej tlen okipaleuiayaj onejnentokaj itempa aueyatl, ye okitak chikiuitl itlajkotia akatl uan san niman okilui itlakeual makiuikili."
es,%c3%89xodo,2,5,"Entonces la hija del faraón bajó a bañarse en el río Nilo. Mientras sus sirvientas caminaban por la orilla del río, ella vio la canasta en medio de las cañas y enseguida hizo que su esclava se la trajera."
ncx,%c3%89xodo,2,6,"Ijkuak okitlapo chikiuitl, okitak konetl ochokatoka. Ye okiknomatki uan okijto: “Nin chokotsin se inkone hebreos”."
es,%c3%89xodo,2,6,"Al abrirla, vio al bebé, que estaba llorando. Ella se compadeció de él y dijo: “Es uno de los niños de los hebreos”."
ncx,%c3%89xodo,2,7,Ijkuakon ikni konetl okitlajtlani ichpoch faraón: “¿Tikneki maniktemoti se siuatl hebrea para mopatka makichichiti konetl?”.
es,%c3%89xodo,2,7,Entonces la hermana del niño le preguntó a la hija del faraón: “¿Quieres que vaya a buscar a una hebrea para que amamante al niño por ti?”.
ncx,%c3%89xodo,2,8,"Ichpoch faraón okilui: “¡Kema, xio!”. Takotsin san niman okitemoto imama konetl."
es,%c3%89xodo,2,8,"“¡Sí, ve!”, le respondió la hija del faraón. Al instante, la jovencita fue a buscar a la madre del niño."
ncx,%c3%89xodo,2,9,Ichpoch faraón okilui siuatl: “Xikuika nin konetl uan nopatka xikchichiti uan ne nimitstlaxtlauis”. Siuatl okiuikak konetl uan okichichiti.
es,%c3%89xodo,2,9,"La hija del faraón le dijo a la mujer: “Llévate a este niño y amamántalo por mí, y yo te pagaré”. Así que la mujer se llevó al niño y lo amamantó."
ncx,%c3%89xodo,2,10,"Ijkuak konetl omoskalti, siuatl okimaktili ichpoch faraón uan omochi ikone. Ichpoch faraón okitokayoti konetl Moisés uan okijto: “Ijkon itoka porque onikkixti ijtik atl”."
es,%c3%89xodo,2,10,"Cuando el niño creció, se lo entregó a la hija del faraón, y él llegó a ser su hijo. Ella lo llamó Moisés y dijo: “Es porque lo saqué del agua”."
ncx,%c3%89xodo,2,11,"Satepan ijkuak Moisés yomoskaltijka, oyajki okinmitato ikniuan hebreos, uan okinmitak chikauak okintekipanoltiayaj. Uan okitak se egipcio okiuitektoka se hebreo."
es,%c3%89xodo,2,11,"Tiempo después, cuando Moisés ya era adulto, fue a visitar a sus hermanos hebreos para ver las pesadas cargas que llevaban, y vio a un egipcio golpeando a uno de ellos."
ncx,%c3%89xodo,2,12,"Ye otlajtlachixki uan amikaj okitak, ikinon okimikti egipcio uan okitlati ijtik xali."
es,%c3%89xodo,2,12,"Así que miró a un lado y al otro y, como no vio a nadie, mató al egipcio y lo escondió en la arena."
ncx,%c3%89xodo,2,13,Mostlatika Moisés okiski uan okinmitak ome hebreos omouitektokaj. Ye okilui akin otlapepeualti: “¿Tleka tikuiteki mokni?”.
es,%c3%89xodo,2,13,Al día siguiente salió y vio a dos hebreos peleándose. De modo que le dijo al que tenía la culpa: “¿Por qué le pegas a tu compañero?”.
ncx,%c3%89xodo,2,14,Ye okinankili: “¿Akin omitstlali xiyeto topríncipe uan tojuez? ¿Tikneki techmiktis ijkon ken otikmikti egipcio?”. Ijkuakon Moisés omomojti uan omokuayejyeko: “¡Yomomatki tlen onikchi!”.
es,%c3%89xodo,2,14,"Él le respondió: “¿Quién te nombró a ti príncipe y juez sobre nosotros? ¿Piensas matarme, como mataste al egipcio?”. Entonces Moisés se asustó y pensó: “¡Ya se supo lo que hice!”."
ncx,%c3%89xodo,2,15,"Ijkuak faraón okimatki tlen okichi Moisés, okinekiaya kimiktis. Pero ye okicholili uan oyajki ochantito tlali Madián. Ijkuak ompa oajsito, omotlali inakastlan se atekochtli."
es,%c3%89xodo,2,15,"Cuando el faraón se enteró, quiso matar a Moisés. Pero él huyó del faraón y se fue a vivir a la tierra de Madián. Al llegar allí, se sentó junto a un pozo."
ncx,%c3%89xodo,2,16,Teopixki ompa Madián okinpiaya chikome ichpochuan. Yejuan okikixtitoj atl para kitemitiskiaj kanin oatliayaj ichkauan inpapa.
es,%c3%89xodo,2,16,"Pues bien, el sacerdote de Madián tenía siete hijas. Y ellas llegaron a sacar agua y a llenar los bebederos para el rebaño de su padre."
ncx,%c3%89xodo,2,17,"Pero oajsitoj sekimej tlajpixkej uan ijkon ken nochipa okichiuayaj, okinmachijkej ichpochmej. Ijkuak Moisés ijkon okitak, omoketski okinpaleui ichpochmej uan okinmatliti ichkamej."
es,%c3%89xodo,2,17,"Pero llegaron unos pastores y, como hacían a menudo, las echaron de allí. Al ver esto, Moisés se levantó para ayudar a las mujeres y le dio de beber al rebaño."
ncx,%c3%89xodo,2,18,"Ijkuak yejuan oajsitoj ikalijtik inpapa tlen omotokayotiaya Reuel, ye omotlajtlachialti uan okintlajtlani: “¿Tleka axkan san niman onanmajsikoj kalijtik?”."
es,%c3%89xodo,2,18,"Cuando ellas regresaron a la casa de su padre Reuel, él les preguntó extrañado: “¿Por qué llegaron hoy tan pronto a casa?”."
ncx,%c3%89xodo,2,19,Yejuan okinankilijkej: “Se egipcio otechpaleui ijkuak oajsitoj tlajpixkej. Hasta okikixti atl uan okinmatliti ichkamej”.
es,%c3%89xodo,2,19,Ellas le respondieron: “Un egipcio nos defendió de los pastores. Hasta nos sacó agua y le dio de beber al rebaño”.
ncx,%c3%89xodo,2,20,Ye okinmilui ichpochuan: “¿Kanin kajki? ¿Tleka ompa onankiualkajtejkej? Xiknotsatij touan matlakuaki”.
es,%c3%89xodo,2,20,"Entonces él les dijo a sus hijas: “¿Y dónde está? ¿Por qué lo han dejado allá? Llámenlo, para que venga a comer con nosotros”."
ncx,%c3%89xodo,2,21,"Tlakatl okilui Moisés mamokaua ikalijtik uan ye okijto mokauaskia, satepan okimakak ichpoch tlen omotokayotiaya Ziporá para mayeto isiua."
es,%c3%89xodo,2,21,"Después, Moisés aceptó quedarse a vivir con el hombre, y él le dio a su hija Ziporá como esposa."
ncx,%c3%89xodo,2,22,"Satepan Ziporá okipixki se ikone uan Moisés okitokayoti Guersom, porque okijto: “Onichantiko kanin amo noaltepe”."
es,%c3%89xodo,2,22,"Con el tiempo, ella tuvo un hijo, y Moisés lo llamó Guersom, porque dijo: “Me he convertido en un residente extranjero en esta tierra”."
ncx,%c3%89xodo,2,23,"Ijkuak opanok seki xiuitl, tekiua tlen otlanauatiaya Egipto omiki. Pero israelitas ok omoyolkokouayaj uan oelsijsiuiayaj porque yejuan okatkaj tlakeualmej. Ikinon okitlatlaujtiayaj akin melauak toTajtsin Dios makinpaleui."
es,%c3%89xodo,2,23,"Pasó mucho tiempo y el rey de Egipto murió. Aun así, los israelitas siguieron lamentándose por su esclavitud y quejándose. Y sus súplicas por ayuda siguieron subiendo al Dios verdadero."
ncx,%c3%89xodo,2,24,"Satepan toTajtsin Dios okikak ken omoyolkokouayaj uan okilnamik acuerdo tlen okichi iuan Abrahán, Isaac uan Jacob."
es,%c3%89xodo,2,24,"Con el tiempo, Dios oyó sus lamentos y recordó el pacto que había hecho con Abrahán, Isaac y Jacob."
ncx,%c3%89xodo,2,25,ToTajtsin Dios okinmitak israelitas otlajyouijtokaj uan okinmiknomatki.
es,%c3%89xodo,2,25,"Por tanto, Dios se fijó en los israelitas y los tuvo en cuenta."
ncx,%c3%89xodo,3,1,"Moisés okinmaluiaya ichkauan imonta tlen omotokayotiaya Jetró, Jetró okatka teopixki ompa Madián. Se tonal ijkuak Moisés okinuikaya ichkamej ik kanin motlatia tonaltsin ompa kanin tlauaki, oajsito Horeb itepe akin melauak toTajtsin Dios."
es,%c3%89xodo,3,1,"Moisés llegó a ser pastor del rebaño de su suegro Jetró, el sacerdote de Madián. Un día, mientras llevaba el rebaño al lado oeste del desierto, llegó a Horeb, la montaña del Dios verdadero."
ncx,%c3%89xodo,3,2,"Ijkuakon iángel Jehová okimonextili Moisés itech tlitl, tlen okichichinojtoka se xiuitl uitsyo. Ijkuak Moisés kuali otlachixki, okitak xiuitl uitsyo oxotlatoka pero amo otlatlaya."
es,%c3%89xodo,3,2,"Entonces se le apareció el ángel de Jehová en una llama de fuego en medio de una zarza. Al fijarse bien, Moisés vio que la zarza estaba ardiendo pero que no se quemaba."
ncx,%c3%89xodo,3,3,Ikinon Moisés okijto: “Manimotoki para nikyekitas nin tlamantli tetlajtlachialti uan nikitas tleka amo tlatla xiuitl uitsyo”.
es,%c3%89xodo,3,3,Así que Moisés dijo: “Voy a acercarme para ver mejor esta cosa tan extraña y averiguar por qué no se quema la zarza”.
ncx,%c3%89xodo,3,4,Jehová okitak Moisés omotokijtia para kitas tlen opanotoka. Ijkuakon toTajtsin Dios okinotski desde kanin okatka xiuitl uitsyo uan okilui: “¡Moisés! ¡Moisés!”. Uan ye okinankili: “Nikan nika”.
es,%c3%89xodo,3,4,Jehová vio que él se acercaba para mirar. Entonces Dios lo llamó desde la zarza y le dijo: “¡Moisés! ¡Moisés!”. Y él le respondió: “Aquí estoy”.
ncx,%c3%89xodo,3,5,ToTajtsin Dios okilui: “Ayakmo ximotoki. Xikinmokixtili mokakuan porque timoketok ipan tlali santo”.
es,%c3%89xodo,3,5,"Dios le dijo: “No te acerques más. Quítate las sandalias, porque estás pisando suelo santo”."
ncx,%c3%89xodo,3,6,"Satepan okilui: “Ne iDios mopapa, iDios Abrahán, iDios Isaac uan iDios Jacob”. Ijkuakon Moisés omoixpacho porque omomojtiaya kitas akin melauak toTajtsin Dios."
es,%c3%89xodo,3,6,"Luego le dijo: “Yo soy el Dios de tu padre, el Dios de Abrahán, el Dios de Isaac y el Dios de Jacob”. Entonces Moisés se cubrió la cara porque le daba miedo mirar al Dios verdadero."
ncx,%c3%89xodo,3,7,Jehová noijki okilui: “Melauak yonikitak noaltepe tlajyouijtok ompa Egipto uan yonikkak elsijsiuij intlajtlakol akinmej kinchiualtiaj chikauak matekipanokan. Kuali nikmati yejuan tlajyouijtokej.
es,%c3%89xodo,3,7,Jehová añadió: “De veras he visto el dolor de mi pueblo en Egipto y he oído sus quejas por culpa de los que los han esclavizado. Conozco bien sus sufrimientos.
ncx,%c3%89xodo,3,8,"Ikinon nitemos nikinmakixtiti inmak egipcios, nikinkixtis itech non tlali uan nikinuikas itech se ueyi uan kuali tlali. Se tlali kanin onka miak leche uan neujtli, intlal cananeos, hititas, amorreos, perizitas, heveos uan jebuseos."
es,%c3%89xodo,3,8,"Así que bajaré para liberarlos de los egipcios y para hacerlos subir de aquella tierra a una tierra buena y espaciosa, una tierra que rebosa de leche y miel, el territorio de los cananeos, los hititas, los amorreos, los perizitas, los heveos y los jebuseos."
ncx,%c3%89xodo,3,9,Yonikak altepetl Israel elsijsiui. Noijki yonikitak egipcios fiero kintlajyouiltijtokej.
es,%c3%89xodo,3,9,"Pues, mira, han llegado hasta mí las quejas del pueblo de Israel. También he visto la crueldad con la que los egipcios los están oprimiendo."
ncx,%c3%89xodo,3,10,"Xiuiki, nimitstitlanis ixpan faraón. Te tikinkixtis israelitas ompa Egipto, yejuan noaltepe”."
es,%c3%89xodo,3,10,"Ahora, ven, voy a enviarte ante el faraón. Tú sacarás de Egipto a mi pueblo, los israelitas”."
ncx,%c3%89xodo,3,11,Pero Moisés okilui akin melauak toTajtsin Dios: “Amo nechnamiki nias ixpan faraón uan nikinkixtis israelitas ompa Egipto”.
es,%c3%89xodo,3,11,Pero Moisés le dijo al Dios verdadero: “¿Quién soy yo para presentarme ante el faraón y sacar a los israelitas de Egipto?”.
ncx,%c3%89xodo,3,12,"Ye okinankili: “Ne mouan niyetos. Ijkin tikmatis ne onimitstitlanki: ijkuak tikkixtis noaltepe ompa Egipto, nochtin namejuan nanualaskej itech nin tepetl uan nantechueyichiuaskej ne akin melauak niDios”."
es,%c3%89xodo,3,12,"Él le respondió: “Yo estaré contigo. Esta es la señal que tendrás de que soy yo quien te ha enviado: cuando saques de Egipto al pueblo, todos ustedes vendrán a esta montaña y servirán al Dios verdadero”."
ncx,%c3%89xodo,3,13,"Pero Moisés okilui akin melauak toTajtsin Dios: “Matikijtokan nias inmixpan israelitas uan nikinmiluis: ‘InDios namouejkatatajuan onechualtitlanki’. Tla yejuan nechtlajtlaniskej: ‘¿Tlen itoka?’, ¿tlen moneki nikinmiluis?”."
es,%c3%89xodo,3,13,"Sin embargo, Moisés le dijo al Dios verdadero: “Supongamos que voy ante los israelitas y les digo: ‘El Dios de sus antepasados me ha enviado a ustedes’. Si ellos me preguntan ‘¿Y cuál es su nombre?’, ¿qué les debo decir?”."
ncx,%c3%89xodo,3,14,ToTajtsin Dios okinankili Moisés: “Ne Niyetos tlen Ne Niknekis Niyetos”. Noijki okilui: “Nin moneki tikinmiluis israelitas: ‘Ne Niyetos onechualtitlanki’”.
es,%c3%89xodo,3,14,Así que Dios le contestó a Moisés: “Yo Seré lo que Yo Decida Ser”. Y añadió: “Esto es lo que tienes que decirles a los israelitas: ‘Yo Seré me ha enviado a ustedes’”.
ncx,%c3%89xodo,3,15,"ToTajtsin Dios oksepa okilui Moisés: “Ijkin moneki tikinmiluis israelitas: ‘Jehová inDios namouejkatatajuan, iDios Abrahán, iDios Isaac uan iDios Jacob onechualtitlanki’. Non nochipa yetos notoka uan ijkon nechilnamikiskej nochtin akinmej nestiaskej."
es,%c3%89xodo,3,15,"Entonces Dios le dijo otra vez a Moisés: “Esto es lo que debes decirles a los israelitas: ‘Jehová, el Dios de sus antepasados, el Dios de Abrahán, el Dios de Isaac y el Dios de Jacob, me ha enviado a ustedes’. Este es mi nombre para siempre, y así es como se me recordará de generación en generación."
ncx,%c3%89xodo,3,16,"Axkan xiuia, xikinnechiko akinmej tlayekanaj Israel uan xikinmilui: ‘Jehová inDios namouejkatatajuan, iDios Abrahán, Isaac uan Jacob, onechmonextili uan onechilui: “Ne melauak yonamechitak uan yonikitak tlen namechtoktijtokej ompa Egipto."
es,%c3%89xodo,3,16,"Ahora vete, reúne a los ancianos de Israel y diles: ‘Jehová, el Dios de sus antepasados, el Dios de Abrahán, Isaac y Jacob, se me apareció y dijo: “Yo de veras los he visto a ustedes y he visto lo que les están haciendo en Egipto."
ncx,%c3%89xodo,3,17,"Ikinon ne melauak namechiluia namechpaleuis para ayakmo manamechtlajyouiltikan egipcios uan namechuikas intlal cananeos, hititas, amorreos, perizitas, heveos uan jebuseos. Se tlali kanin onka miak leche uan neujtli”’”."
es,%c3%89xodo,3,17,"Por eso, les prometo que los libraré del sufrimiento que les están causando los egipcios y los llevaré a la tierra de los cananeos, los hititas, los amorreos, los perizitas, los heveos y los jebuseos, una tierra que rebosa de leche y miel”’."
ncx,%c3%89xodo,3,18,"“Yejuan mitskakiskej uan te inuan tlayekankej nanyaskej ixpan akin tlanauatia Egipto uan moneki nankiluiskej: ‘Jehová inDios hebreos touan omotlapoui. Timitstlatlaujtiaj techkauili matiakan eyi tonal, para tikinchichinilitiuij yolkamej toDios Jehová kanin tlauakiʼ."
es,%c3%89xodo,3,18,"”Ellos te escucharán. Y tú te presentarás con los ancianos de Israel ante el rey de Egipto, y ustedes deberán decirle: ‘Jehová, el Dios de los hebreos, habló con nosotros. Así que, por favor, déjanos hacer un viaje de tres días al desierto para ofrecerle sacrificios a Jehová nuestro Dios’."
ncx,%c3%89xodo,3,19,"Pero ne kuali nikmati akin tlanauatia Egipto, amo namechkauilis xiuiaj, tla ne amo nikchiualtis ijkon makichiua."
es,%c3%89xodo,3,19,Pero yo sé bien que el rey de Egipto no les dará permiso para ir a menos que lo obligue una mano poderosa.
ncx,%c3%89xodo,3,20,"Ika nochikaualis niktlajyouiltis Egipto, ika nochi tlamantli tetlajtlachialti tlen ompa nikchiuas. Satepan ye namechkauilis xiuiaj."
es,%c3%89xodo,3,20,"Por eso yo extenderé mi mano y castigaré a Egipto con todas las obras extraordinarias que haré allí. Después de eso, él los dejará ir."
ncx,%c3%89xodo,3,21,"Noijki nikchiuas egipcios makipaleuikan noaltepe. Ijkuak namejuan nankisaskej, amo san ijkon nanyaskej."
es,%c3%89xodo,3,21,"También haré que este pueblo tenga el favor de los egipcios. Y, cuando ustedes se vayan, de ningún modo se irán con las manos vacías."
ncx,%c3%89xodo,3,22,"Sejse siuatl kitlajtlanilis siuatl tlen ik ompa chanti uan siuatl tlen chanti ikalijtik, makimaka tlamantli de plata, de oro uan tlakemitl uan nankintlaliliskej namokoneuan tlen namechmakaskej. Nankinkixtiliskej egipcios tlen kipiaj”."
es,%c3%89xodo,3,22,"Cada mujer tendrá que pedirles objetos de plata, objetos de oro y ropa a su vecina y a la mujer que esté viviendo en su casa, y ustedes se los pondrán a sus hijos y sus hijas. Ustedes despojarán a los egipcios”."
ncx,%c3%89xodo,4,1,Pero Moisés okinankili: “¿Tlen nikchiuas tla amo nechneltokiliaj uan amo nechkakij? Porque kijtoskej: ‘Jehová amo omitsmonextili’”.
es,%c3%89xodo,4,1,Pero Moisés le respondió: “¿Y qué hago si no me creen ni me escuchan? Porque van a decir ‘Jehová no se te apareció’”.
ncx,%c3%89xodo,4,2,Ijkuakon Jehová okitlajtlani: “¿Tlen tikitskijtok?”. Moisés okinankili: “Se tlakotl”.
es,%c3%89xodo,4,2,Entonces Jehová le preguntó: “¿Qué tienes en la mano?”. Moisés le contestó: “Una vara”.
ncx,%c3%89xodo,4,3,ToTajtsin Dios okilui: “Xiktlamotla ipan tlali”. Tlakotl omokopki se kouatl ijkuak Moisés okitlamotlak ipan tlali. Ijkuakon Moisés san niman omachi.
es,%c3%89xodo,4,3,"Dios le dijo: “Arrójala al suelo”. Y, cuando la arrojó al suelo, la vara se convirtió en una serpiente. Enseguida Moisés se apartó de ella."
ncx,%c3%89xodo,4,4,"Jehová okilui Moisés: “Xikmelaua moma uan xikitski kouatl ik ikuitlapil”. Ye okimela ima, okikitski kouatl uan kouatl omokopki se tlakotl."
es,%c3%89xodo,4,4,"Jehová ahora le dijo a Moisés: “Extiende la mano y agárrala por la cola”. Así que él extendió la mano y la agarró, y la serpiente se convirtió en una vara."
ncx,%c3%89xodo,4,5,"Ijkuakon toTajtsin Dios okilui: “Ijkon yejuan kimatiskej Jehová omitsmonextili, inDios inuejkatatajuan, iDios Abrahán, iDios Isaac uan iDios Jacob”."
es,%c3%89xodo,4,5,"Entonces Dios le dijo: “Así sabrán ellos que se te ha aparecido Jehová, el Dios de sus antepasados, el Dios de Abrahán, el Dios de Isaac y el Dios de Jacob”."
ncx,%c3%89xodo,4,6,"Jehová noijki okilui: “Nimitstlatlaujtia xikkalaki moma ijtik motlaken”. Moisés okikalaki ima ijtik itlaken uan ijkuak okikixti, ¡ima okipiaya lepra! ¡Okatka istak ken nieve!"
es,%c3%89xodo,4,6,"Además, Jehová le dijo: “Por favor, mete tu mano en el pliegue superior de tu ropa”. Así que Moisés metió la mano en el pliegue de su ropa y, cuando la sacó, ¡la mano tenía lepra! ¡Estaba blanca como la nieve!"
ncx,%c3%89xodo,4,7,"Satepan toTajtsin Dios okilui: “Oksepa xikkalaki moma ijtik motlaken”. Moisés oksepa okikalaki ima ijtik itlaken. Ijkuak okikixti ima, ¡kuali okatka ijkon ken nochi icuerpo!"
es,%c3%89xodo,4,7,"Después de eso, Dios le dijo: “Vuelve a meter la mano en el pliegue superior de tu ropa”. De modo que Moisés metió de nuevo la mano en su ropa. Cuando la sacó, ¡estaba tan sana como el resto de su cuerpo!"
ncx,%c3%89xodo,4,8,"ToTajtsin Dios okilui: “Tla amo mitsneltokiliaj noso amo kiseliaj achto milagro, kiseliskej okse milagro."
es,%c3%89xodo,4,8,"Dios le dijo: “Si no te creen o no le hacen caso a la primera señal, le harán caso a la segunda."
